,District,District Code,School Code,School Name,number,score,vote
0,Las Virgenes Unified,64683,1931781,Calabasas High,48,58.0625,0.64766536965
1,San Francisco Unified,68478,3830288,Balboa High,14,7.0,0.857183118439
2,Bellflower Unified,64303,1930775,Bellflower High,57,40.1228070175,0.728351881293
3,William S. Hart Union High,65136,1995802,Valencia High,87,66.724137931,0.553500458575
4,Compton Unified,73437,1995695,"Chavez (Cesar) High, Cont.",16,0.0,0.843711153803
5,Los Angeles Unified,64733,1933852,Alexander Hamilton Senior Hig,234,54.6752136752,0.816042024447
6,Compton Unified,73437,1932326,Dominguez High,42,19.0,0.897839225101
7,Los Angeles Unified,64733,1932847,Los Angeles Center for Enrich,47,68.1063829787,0.740799366838
8,Arcadia Unified,64261,1930288,Arcadia High,31,61.2580645161,0.641412361689
9,Monrovia Unified,64790,1935923,Monrovia High,51,53.1176470588,0.687778528022
10,William S. Hart Union High,65136,102459,Golden Valley High,86,48.8837209302,0.493247068338
11,Walnut Valley Unified,73460,1932862,Diamond Bar High,52,59.6923076923,0.57246031746
12,San Francisco Unified,68478,3833407,Lowell High,11,73.0,0.826167975509
13,William S. Hart Union High,65136,102475,West Ranch High,63,69.4920634921,0.56037496028
14,Lynwood Unified,64774,1935436,Lynwood High,33,11.9090909091,0.818173573955
15,William S. Hart Union High,65136,1933902,Hart (William S.) Senior High,12,67.0,0.493247068338
16,Santa Monica-Malibu Unified,64980,1938000,Santa Monica High,91,48.2417582418,0.83513562224
17,West Covina Unified,65094,1939537,West Covina High,11,55.0,0.722227984649
18,Los Angeles County Office of Education,10199,1933399,L.A. Co. High School/Arts,34,79.4411764706,0.750386750387
19,Los Angeles Unified,64733,1931864,Grover Cleveland High,49,73.1428571429,0.695140327745
20,Los Angeles Unified,64733,1932383,Susan Miller Dorsey Senior Hi,117,27.4017094017,0.911423670669
21,Los Angeles Unified,64733,1939040,Venice Senior High,47,44.4893617021,0.805606900801
22,San Francisco Unified,68478,3839081,Washington (George) High,11,45.0,0.859501229364
23,Los Angeles Unified,64733,124529,Rancho Dominguez Preparatory,65,29.6,0.737823921668
24,Los Angeles Unified,64733,1932920,Fairfax Senior High,80,49.875,0.843086361491
25,Pomona Unified,64907,1995901,Diamond Ranch High,96,70.7395833333,0.694546617624
26,Centinela Valley Union High,64352,1933951,Hawthorne High,50,24.02,0.874346343312
27,Antelope Valley Union High,64246,1995398,Highland High,286,49.1853146853,0.419696176008
28,South Pasadena Unified,65029,1938455,South Pasadena Senior High,23,95.8260869565,0.803680981595
29,Antelope Valley Union High,64246,1995406,Littlerock High,54,31.462962963,0.492362982929
30,Torrance Unified,65060,1939602,West High,51,66.6470588235,0.643809331448
31,Downey Unified,64451,1932441,Downey High,36,52.8055555556,0.687788741231
32,Long Beach Unified,64725,1995935,Cabrillo High,80,33.8625,0.737823921668
33,Inglewood Unified,64634,1936046,Morningside High,28,29.3214285714,0.838403294368
34,Los Angeles Unified,64733,1938612,William Howard Taft Senior Hi,67,47.671641791,0.705670515605
35,Compton Unified,73437,1931963,Compton High,50,8.28,0.898423817863
36,Antelope Valley Union High,64246,1995968,Phoenix High Community Day,28,0.0,0.5248
37,Centinela Valley Union High,64352,1935048,Leuzinger High,24,17.0,0.75959933222
38,Los Angeles Unified,64733,1933001,King/Drew Medical Magnet High,141,59.8156028369,0.855679055228
39,Walnut Valley Unified,73460,1939149,Walnut High,55,61.7454545455,0.622432392493
40,Long Beach Unified,64725,1996503,Renaissance High for the Arts,29,76.0,0.836324705586
41,Downey Unified,64451,1939164,Warren High,28,67.2857142857,0.687788741231
42,Los Angeles Unified,64733,1995489,Los Angeles Unified Alternativ,32,25.6875,0.81433061866
43,San Francisco Unified,68478,3834082,Mission High,12,25.0,0.938423268274
44,William S. Hart Union High,65136,1931492,Canyon High,56,53.625,0.579585410653
45,Beverly Hills Unified,64311,1930981,Beverly Hills High,58,53.3793103448,0.720806916427
46,Pasadena Unified,64881,1936103,John Muir High,60,36.5166666667,0.669747025528
47,Antelope Valley Union High,64246,1936624,Palmdale High,224,29.6696428571,0.5248
48,Redondo Beach Unified,75341,1937143,Redondo Union High,105,65.7619047619,0.71605516872
49,Bellflower Unified,64303,1935618,Mayfair High,148,47.3513513514,0.728351881293
50,Los Angeles Unified,64733,1931526,Carson Senior High,92,30.7717391304,0.776502242152
51,Long Beach Unified,64725,1995539,Calif Acad Math and Science,29,100.0,0.641695637546
52,Glendora Unified,64576,1933597,Glendora High,11,73.0,0.519502353732
53,Los Angeles Unified,64733,1936160,Nathaniel Narbonne Senior Hig,144,43.8333333333,0.690962980886
54,Long Beach Unified,64725,1934470,Jordan High,146,23.7054794521,0.777751852068
55,Compton Unified,73437,1931567,Centennial High,50,9.76,0.843711153803
